customer_id,customer_type,segment,acquisition_channel,customer_since,location_category,business_size
C1000,Individual,Standard,Referral,2022-02-20,Suburban,N/A
C1001,Individual,Premium,Online,2023-11-16,Suburban,N/A
C1002,SME,New,Online,2023-12-18,Urban,Large
C1003,Individual,New,Walk-in,2024-02-11,Urban,N/A
C1004,Individual,Standard,Walk-in,2023-03-22,Urban,N/A
C1005,Individual,Budget,Sales Team,2023-03-25,Suburban,N/A
C1006,Individual,Budget,Online,2024-05-30,Urban,N/A
C1007,SME,Standard,Online,2023-05-03,Other,Medium
C1008,Individual,Standard,Walk-in,2024-03-10,Urban,N/A
C1009,Corporate,Standard,Online,2022-02-03,Urban,Medium
C1010,SME,Premium,Online,2022-12-14,Urban,Small
C1011,Individual,New,Referral,2022-04-05,Suburban,N/A
C1012,Individual,New,Referral,2022-03-13,Suburban,N/A
C1013,SME,Budget,Sales Team,2023-07-05,Urban,Large
C1014,SME,Standard,Walk-in,2022-06-03,Urban,Small
C1015,SME,Standard,Walk-in,2022-09-07,Suburban,Large
C1016,SME,Budget,Online,2023-11-05,Urban,Large
C1017,Individual,New,Referral,2023-03-14,Suburban,N/A
C1018,Individual,New,Referral,2022-04-28,Suburban,N/A
C1019,Individual,Budget,Online,2024-02-10,Urban,N/A
C1020,Corporate,Budget,Online,2024-06-09,Urban,Medium
C1021,SME,Premium,Walk-in,2022-11-02,Other,Small
C1022,Individual,Standard,Walk-in,2022-09-25,Urban,N/A
C1023,Individual,New,Online,2022-02-23,Urban,N/A
C1024,Individual,Budget,Sales Team,2022-08-24,Suburban,N/A
C1025,Individual,Premium,Walk-in,2023-01-24,Other,N/A
C1026,SME,Premium,Online,2024-01-04,Other,Medium
C1027,SME,Budget,Walk-in,2024-02-02,Suburban,Small
C1028,Corporate,Premium,Online,2024-04-04,Urban,Large
C1029,Individual,Standard,Referral,2023-02-05,Urban,N/A
C1030,Individual,Standard,Online,2023-09-16,Suburban,N/A
C1031,SME,Budget,Walk-in,2024-02-06,Suburban,Small
C1032,SME,Budget,Referral,2022-10-30,Urban,Small
C1033,SME,Standard,Referral,2022-07-26,Other,Large
C1034,SME,Budget,Referral,2022-08-17,Urban,Large
C1035,Individual,Standard,Referral,2024-05-02,Urban,N/A
