transaction_id,transaction_date,customer_id,product_id,branch_id,channel,quantity,unit_price,discount_percentage,gross_revenue,net_revenue,cost,gross_margin,payment_status
T100001,2023-01-01,C1107,P109,BR-Central,Branch,1,221.65,5,221.65,210.57,169.04,41.53,Paid
T100002,2023-01-01,C1014,P108,BR-North,Online,2,159.08,0,318.16,318.16,220.34,97.82,Paid
T100003,2023-01-01,C1084,P121,BR-West,Online,4,26.85,5,107.4,102.03,62.0,40.03,Paid
T100004,2023-01-01,C1104,P100,BR-South,Dealer,1,193.52,5,193.52,183.84,109.3,74.54,Paid
T100005,2023-01-01,C1022,P129,BR-West,Online,2,32.16,15,64.32,54.67,48.4,6.27,Paid
T100006,2023-01-01,C1046,P115,BR-South,Dealer,1,307.7,0,307.7,307.7,295.85,11.85,Paid
T100007,2023-01-01,C1084,P125,BR-East,Branch,2,485.1,5,970.2,921.69,599.06,322.63,Pending
T100008,2023-01-01,C1098,P101,BR-West,Dealer,1,368.68,5,368.68,350.25,247.16,103.09,Paid
T100009,2023-01-01,C1024,P100,BR-North,Branch,3,193.52,5,580.56,551.53,327.9,223.63,Paid
T100010,2023-01-01,C1053,P128,BR-West,Dealer,2,53.36,0,106.72,106.72,84.44,22.28,Partially Paid
T100011,2023-01-01,C1066,P112,BR-North,Dealer,1,233.47,0,233.47,233.47,143.45,90.02,Pending
T100012,2023-01-01,C1113,P108,BR-Central,Online,1,159.08,5,159.08,151.13,110.17,40.96,Paid
T100013,2023-01-01,C1076,P117,BR-North,Direct Sales,5,483.16,10,2415.8,2174.22,1467.55,706.67,Paid
T100014,2023-01-01,C1100,P127,BR-East,Partner,4,302.97,0,1211.88,1211.88,1119.68,92.2,Paid
T100015,2023-01-01,C1058,P113,BR-Central,Branch,2,107.84,0,215.68,215.68,150.06,65.62,Paid
T100016,2023-01-01,C1074,P122,BR-South,Online,5,136.8,5,684.0,649.8,640.8,9.0,Paid
T100017,2023-01-01,C1096,P106,BR-North,Dealer,2,417.9,0,835.8,835.8,657.18,178.62,Overdue
T100018,2023-01-02,C1034,P116,BR-North,Dealer,2,41.88,5,83.76,79.57,47.36,32.21,Paid
T100019,2023-01-02,C1111,P106,BR-North,Branch,2,417.9,0,835.8,835.8,657.18,178.62,Paid
T100020,2023-01-02,C1086,P117,BR-South,Online,2,483.16,0,966.32,966.32,587.02,379.3,Pending
T100021,2023-01-02,C1025,P105,BR-North,Branch,1,20.09,25,20.09,15.07,11.23,3.84,Paid
T100022,2023-01-02,C1113,P104,BR-East,Dealer,1,304.55,5,304.55,289.32,194.17,95.15,Paid
T100023,2023-01-02,C1069,P114,BR-Central,Online,2,300.28,0,600.56,600.56,502.1,98.46,Paid
T100024,2023-01-02,C1037,P100,BR-West,Branch,1,193.52,10,193.52,174.17,109.3,64.87,Paid
T100025,2023-01-02,C1042,P117,BR-North,Partner,3,483.16,0,1449.48,1449.48,880.53,568.95,Paid
T100026,2023-01-02,C1048,P104,BR-East,Partner,1,304.55,0,304.55,304.55,194.17,110.38,Paid
T100027,2023-01-02,C1083,P110,BR-Central,Online,1,309.81,0,309.81,309.81,250.37,59.44,Paid
T100028,2023-01-02,C1006,P116,BR-Central,Online,3,41.88,10,125.64,113.08,71.04,42.04,Paid
T100029,2023-01-02,C1006,P108,BR-North,Online,1,159.08,10,159.08,143.17,110.17,33.0,Partially Paid
T100030,2023-01-02,C1045,P108,BR-Central,Branch,1,159.08,5,159.08,151.13,110.17,40.96,Paid
T100031,2023-01-02,C1106,P129,BR-North,Branch,1,32.16,0,32.16,32.16,24.2,7.96,Paid
T100032,2023-01-02,C1084,P128,BR-East,Online,2,53.36,10,106.72,96.05,84.44,11.61,Paid
